,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
125,Guinea,2015-01-17, Suspected,15,,Not available
126,Guinea,2015-01-17, Total,2873,,1875
127,Guinea,2015-01-17, Confirmed,2539,,1556
128,Guinea,2015-01-18, Total,2871,136,1876
129,Guinea,2015-01-18, Confirmed,2539,136,1557
130,Guinea,2015-01-18, Total,2871,,1876
131,Guinea,2015-01-18, Confirmed,2539,,1557
132,Guinea,2015-01-18, Suspected,13,Not reported,Data not available.
133,Guinea,2015-01-18, Probable,319,Not reported,319
134,Guinea,2015-01-18, Probable,319,,319
135,Guinea,2015-01-18, Suspected,13,,Not available
136,Guinea,2015-01-19, Confirmed,2542,,1560
137,Guinea,2015-01-19, Total,2873,,1879
138,Guinea,2015-01-19, Probable,319,,319
139,Guinea,2015-01-19, Suspected,12,,Not available
140,Guinea,2015-01-20, Suspected,9,,not available
141,Guinea,2015-01-20, Total,2873,,1880
142,Guinea,2015-01-20, Probable,319,,319
143,Guinea,2015-01-20, Confirmed,2545,,1561
144,Guinea,2015-01-24, Total,2909,,1906
145,Guinea,2015-01-24, Confirmed,2559,,1574
146,Guinea,2015-01-24, Suspected,18,,Not available
147,Guinea,2015-01-24, Probable,332,,332
148,Guinea,2015-01-25, Total,2917,,1910
149,Guinea,2015-01-25, Confirmed,2569,,1578
150,Guinea,2015-01-25, Suspected,16,,Not available
151,Guinea,2015-01-25, Probable,332,,332
152,Guinea,2015-01-25, Confirmed,2569,92,1578
153,Guinea,2015-01-25, Total,2917,92,1910
154,Guinea,2015-01-25, Probable,332,Not reported,332
155,Guinea,2015-01-25, Suspected,16,Not reported,Data not available
156,Guinea,2015-01-26, Total,2921,,1911
157,Guinea,2015-01-26, Suspected,18,,Not available
158,Guinea,2015-01-26, Confirmed,2571,,1579
159,Guinea,2015-01-26, Probable,332,,332
160,Guinea,2015-01-27, Confirmed,2575,,1581
161,Guinea,2015-01-27, Total,2920,,1913
162,Guinea,2015-01-27, Probable,332,,332
163,Guinea,2015-01-27, Suspected,13,,Not available
164,Guinea,2015-01-31, Confirmed,2593,,1595
165,Guinea,2015-01-31, Probable,342,,342
166,Guinea,2015-01-31, Suspected,24,,Not available
167,Guinea,2015-01-31, Total,2959,,1937
168,Guinea,2015-02-01, Total,2975,,1944
169,Guinea,2015-02-01, Total,2975,89,1944
170,Guinea,2015-02-01, Confirmed,2608,,1597
171,Guinea,2015-02-01, Probable,347,,347
172,Guinea,2015-02-01, Suspected,20,,Not available
173,Guinea,2015-02-01, Confirmed,2608,89,1597
