Virus,Region,Sub-region,Date,Type,Case Number,Comments
Ebolavirus,Africa, Guinea,2014-09-24,Deaths,635,
Ebolavirus,Africa, Guinea,2014-09-26,Confirmed,1074,
Ebolavirus,Africa, Guinea,2014-09-26,Deaths,648,
Ebolavirus,Africa, Guinea,2014-10-01,Confirmed,1157,
Ebolavirus,Africa, Guinea,2014-10-01,Deaths,710,
Ebolavirus,Africa, Guinea,2014-10-03,Confirmed,1199,
Ebolavirus,Africa, Guinea,2014-10-03,Deaths,739,
Ebolavirus,Africa, Guinea,2014-10-08,Confirmed,1298,
Ebolavirus,Africa, Guinea,2014-10-08,Deaths,768,
Ebolavirus,Africa, Guinea,2014-10-10,Confirmed,1350,
Ebolavirus,Africa, Guinea,2014-10-10,Deaths,778,
Ebolavirus,Africa, Guinea,2014-10-15,Confirmed,1472,
Ebolavirus,Africa, Guinea,2014-10-15,Deaths,843,
Ebolavirus,Africa, Guinea,2014-10-17,Confirmed,1519,
Ebolavirus,Africa, Guinea,2014-10-17,Deaths,862,
Ebolavirus,Africa, Guinea,2014-10-22,Confirmed,1540,
Ebolavirus,Africa, Guinea,2014-10-22,Deaths,904,
Ebolavirus,Africa, Guinea,2014-10-25,Confirmed,1553,
Ebolavirus,Africa, Guinea,2014-10-25,Deaths,926,
Ebolavirus,Africa, Guinea,2014-10-29,Confirmed,1906,
Ebolavirus,Africa, Guinea,2014-10-29,Deaths,997,
Ebolavirus,Africa, Guinea,2014-10-31,Confirmed,1667,
Ebolavirus,Africa, Guinea,2014-10-31,Deaths,1018,
Ebolavirus,Africa, Guinea,2014-11-05,Confirmed,1731,
Ebolavirus,Africa, Guinea,2014-11-05,Deaths,1041,
Ebolavirus,Africa, Guinea,2014-11-07,Confirmed,1760,
Ebolavirus,Africa, Guinea,2014-11-07,Deaths,1054,
Ebolavirus,Africa, Guinea,2014-11-12,Confirmed,1878,
Ebolavirus,Africa, Guinea,2014-11-12,Deaths,1142,
Ebolavirus,Africa, Guinea,2014-11-14,Confirmed,1919,
Ebolavirus,Africa, Guinea,2014-11-14,Deaths,1166,
Ebolavirus,Africa, Guinea,2014-11-19,Confirmed,1971,
Ebolavirus,Africa, Guinea,2014-11-19,Deaths,1192,
Ebolavirus,Africa, Guinea,2014-11-21,Confirmed,2047,
Ebolavirus,Africa, Guinea,2014-11-21,Deaths,1214,
Ebolavirus,Africa, Guinea,2014-11-26,Confirmed,2134,
Ebolavirus,Africa, Guinea,2014-11-26,Deaths,1260,
Ebolavirus,Africa, Guinea,2014-11-28,Confirmed,2155,
Ebolavirus,Africa, Guinea,2014-11-28,Deaths,1312,
Ebolavirus,Africa, Guinea,2014-12-03,Confirmed,2164,
Ebolavirus,Africa, Guinea,2014-12-03,Deaths,1327,
Ebolavirus,Africa, Guinea,2014-12-10,Confirmed,2292,
Ebolavirus,Africa, Guinea,2014-12-10,Deaths,1428,
Ebolavirus,Africa, Guinea,2014-12-17,Confirmed,2416,
Ebolavirus,Africa, Guinea,2014-12-17,Deaths,1525,
Ebolavirus,Africa, Guinea,2014-12-24,Confirmed,2597,
Ebolavirus,Africa, Guinea,2014-12-24,Deaths,1607,
Ebolavirus,Africa, Guinea,2014-12-31,Confirmed,2707,
Ebolavirus,Africa, Guinea,2014-12-31,Deaths,1708,
Ebolavirus,Africa, Guinea,2015-01-07,Confirmed,2775,
Ebolavirus,Africa, Guinea,2015-01-07,Deaths,1781,
Ebolavirus,Africa, Guinea,2015-01-14,Confirmed,2806,
Ebolavirus,Africa, Guinea,2015-01-14,Deaths,1814,
Ebolavirus,Africa, Guinea,2015-01-21,Confirmed,2871,
Ebolavirus,Africa, Guinea,2015-01-21,Deaths,1876,
Ebolavirus,Africa, Guinea,2015-01-28,Confirmed,2917,
Ebolavirus,Africa, Guinea,2015-01-28,Deaths,1910,
Ebolavirus,Africa, Guinea,2015-02-04,Confirmed,2975,
Ebolavirus,Africa, Guinea,2015-02-04,Deaths,1944,
Ebolavirus,Africa, Guinea,2015-02-11,Confirmed,3044,
Ebolavirus,Africa, Guinea,2015-02-11,Deaths,1995,
Ebolavirus,Africa, Guinea,2015-02-18,Confirmed,3108,
Ebolavirus,Africa, Guinea,2015-02-18,Deaths,2057,
Ebolavirus,Africa, Guinea,2015-02-25,Confirmed,3155,
Ebolavirus,Africa, Guinea,2015-02-25,Deaths,2091,
Ebolavirus,Africa, Guinea,2015-03-04,Confirmed,3219,
Ebolavirus,Africa, Guinea,2015-03-04,Deaths,2129,
Ebolavirus,Africa, Guinea,2015-03-11,Confirmed,3285,
Ebolavirus,Africa, Guinea,2015-03-11,Deaths,2170,
Ebolavirus,Africa, Guinea,2015-03-18,Confirmed,3389,
Ebolavirus,Africa, Guinea,2015-03-18,Deaths,2224,
Ebolavirus,Africa, Guinea,2015-03-25,Confirmed,3429,
Ebolavirus,Africa, Guinea,2015-03-25,Deaths,2263,
Ebolavirus,Africa, Guinea,2015-03-26,Confirmed,3459,
Ebolavirus,Africa, Guinea,2015-03-26,Deaths,2273,
Ebolavirus,Africa, Guinea,2015-03-27,Confirmed,3466,
Ebolavirus,Africa, Guinea,2015-03-27,Deaths,2276,
