Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Orthomyxovididae,Influenza Viruses,,United States,,1999-02-14,Influenza Like Illness,5768,
Orthomyxovididae,Influenza Viruses,,United States,,1999-02-21,Influenza Like Illness,4920,
Orthomyxovididae,Influenza Viruses,,United States,,1999-02-28,Influenza Like Illness,4486,
Orthomyxovididae,Influenza Viruses,,United States,,1999-03-07,Influenza Like Illness,3910,
Orthomyxovididae,Influenza Viruses,,United States,,1999-03-14,Influenza Like Illness,2922,
Orthomyxovididae,Influenza Viruses,,United States,,1999-03-21,Influenza Like Illness,2070,
Orthomyxovididae,Influenza Viruses,,United States,,1999-03-28,Influenza Like Illness,1696,
Orthomyxovididae,Influenza Viruses,,United States,,1999-04-04,Influenza Like Illness,1091,
Orthomyxovididae,Influenza Viruses,,United States,,1999-04-11,Influenza Like Illness,632,
Orthomyxovididae,Influenza Viruses,,United States,,1999-04-18,Influenza Like Illness,396,
Orthomyxovididae,Influenza Viruses,,United States,,1999-04-25,Influenza Like Illness,271,
Orthomyxovididae,Influenza Viruses,,United States,,1999-05-02,Influenza Like Illness,399,
Orthomyxovididae,Influenza Viruses,,United States,,1999-05-09,Influenza Like Illness,180,
Orthomyxovididae,Influenza Viruses,,United States,,1999-05-16,Influenza Like Illness,292,
Orthomyxovididae,Influenza Viruses,,United States,,1999-05-23,Influenza Like Illness,283,
Orthomyxovididae,Influenza Viruses,,United States,,1999-05-30,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-06-06,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-06-13,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-06-20,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-06-27,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-07-04,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-07-11,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-07-18,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-07-25,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-08-01,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-08-08,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-08-15,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-08-22,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-08-29,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-09-05,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-09-12,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-09-19,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-09-26,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-10-03,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1999-10-10,Influenza Like Illness,791,
Orthomyxovididae,Influenza Viruses,,United States,,1999-10-17,Influenza Like Illness,997,
Orthomyxovididae,Influenza Viruses,,United States,,1999-10-24,Influenza Like Illness,1067,
Orthomyxovididae,Influenza Viruses,,United States,,1999-10-31,Influenza Like Illness,1089,
Orthomyxovididae,Influenza Viruses,,United States,,1999-11-07,Influenza Like Illness,1570,
Orthomyxovididae,Influenza Viruses,,United States,,1999-11-14,Influenza Like Illness,1570,
Orthomyxovididae,Influenza Viruses,,United States,,1999-11-21,Influenza Like Illness,1701,
Orthomyxovididae,Influenza Viruses,,United States,,1999-11-28,Influenza Like Illness,1833,
Orthomyxovididae,Influenza Viruses,,United States,,1999-12-05,Influenza Like Illness,2484,
Orthomyxovididae,Influenza Viruses,,United States,,1999-12-12,Influenza Like Illness,3264,
Orthomyxovididae,Influenza Viruses,,United States,,1999-12-19,Influenza Like Illness,4208,
Orthomyxovididae,Influenza Viruses,,United States,,1999-12-26,Influenza Like Illness,5168,
Orthomyxovididae,Influenza Viruses,,United States,,2000-01-02,Influenza Like Illness,6846,
Orthomyxovididae,Influenza Viruses,,United States,,2000-01-09,Influenza Like Illness,7272,
Orthomyxovididae,Influenza Viruses,,United States,,2000-01-16,Influenza Like Illness,5470,
Orthomyxovididae,Influenza Viruses,,United States,,2000-01-23,Influenza Like Illness,3857,
Orthomyxovididae,Influenza Viruses,,United States,,2000-01-30,Influenza Like Illness,2901,
Orthomyxovididae,Influenza Viruses,,United States,,2000-02-06,Influenza Like Illness,2478,
Orthomyxovididae,Influenza Viruses,,United States,,2000-02-13,Influenza Like Illness,2223,
Orthomyxovididae,Influenza Viruses,,United States,,2000-02-20,Influenza Like Illness,1668,
Orthomyxovididae,Influenza Viruses,,United States,,2000-02-27,Influenza Like Illness,1325,
Orthomyxovididae,Influenza Viruses,,United States,,2000-03-05,Influenza Like Illness,1385,
Orthomyxovididae,Influenza Viruses,,United States,,2000-03-12,Influenza Like Illness,1088,
Orthomyxovididae,Influenza Viruses,,United States,,2000-03-19,Influenza Like Illness,934,
Orthomyxovididae,Influenza Viruses,,United States,,2000-03-26,Influenza Like Illness,917,
Orthomyxovididae,Influenza Viruses,,United States,,2000-04-02,Influenza Like Illness,837,
Orthomyxovididae,Influenza Viruses,,United States,,2000-04-09,Influenza Like Illness,666,
Orthomyxovididae,Influenza Viruses,,United States,,2000-04-16,Influenza Like Illness,522,
Orthomyxovididae,Influenza Viruses,,United States,,2000-04-23,Influenza Like Illness,347,
Orthomyxovididae,Influenza Viruses,,United States,,2000-04-30,Influenza Like Illness,347,
Orthomyxovididae,Influenza Viruses,,United States,,2000-05-07,Influenza Like Illness,324,
Orthomyxovididae,Influenza Viruses,,United States,,2000-05-14,Influenza Like Illness,239,
Orthomyxovididae,Influenza Viruses,,United States,,2000-05-21,Influenza Like Illness,219,
Orthomyxovididae,Influenza Viruses,,United States,,2000-05-28,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-06-04,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-06-11,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-06-18,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-06-25,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-07-02,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,2000-07-09,Influenza Like Illness,0,
