Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-22,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-22,Cases,44,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Slovenia,2003-03-22,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-22,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-22,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-22,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-22,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-22,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-22,Cases,22,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-22,Cases,63,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-24,Cases,11,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-24,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-24,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-24,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-24,Cases,260,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-24,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-24,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-24,Cases,65,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-24,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-24,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-24,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-24,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-24,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-24,Cases,37,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-24,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-25,Cases,11,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-25,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-25,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-25,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-25,Cases,286,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-25,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-25,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-25,Cases,69,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-25,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-25,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-25,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-25,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-25,Cases,39,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-25,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-26,Cases,19,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-26,Cases,792,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-26,Cases,316,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-26,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-26,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-26,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-26,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-26,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-26,Cases,74,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-26,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-26,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-26,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-26,Cases,40,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-26,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-27,Cases,28,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-27,Cases,806,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-27,Cases,367,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-27,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-27,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-27,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-27,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-27,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-03-27,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-27,Cases,78,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-27,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-27,Cases,3,
