Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-21,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-21,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-21,Cumulative_Cases,13
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-21,Cumulative_Cases,62
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-22,Cumulative_Cases,9
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-22,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-22,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-22,Cumulative_Cases,222
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-22,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-22,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-22,Cumulative_Cases,44
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Slovenia,None,2003-03-22,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,2003-03-22,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-22,Cumulative_Cases,7
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-22,Cumulative_Cases,6
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-22,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-22,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-22,Cumulative_Cases,22
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-22,Cumulative_Cases,63
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-24,Cumulative_Cases,11
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-24,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-24,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-24,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-24,Cumulative_Cases,260
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-24,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-24,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-24,Cumulative_Cases,65
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,2003-03-24,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-24,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-24,Cumulative_Cases,6
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-24,Cumulative_Cases,5
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-24,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-24,Cumulative_Cases,37
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-24,Cumulative_Cases,58
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-25,Cumulative_Cases,11
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-25,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-25,Cumulative_Cases,1
