Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-16,Suspected,10,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-17,Suspected,8,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-20,Suspected,16,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-21,Suspected,18,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-23,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-24,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-27,Suspected,13,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-28,Suspected,17,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-06-30,Suspected,18,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-01,Suspected,21,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-04,Suspected,7,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-05,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-07,Suspected,4,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-08,Suspected,8,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-11,Suspected,5,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-12,Suspected,10,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-14,Suspected,8,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-15,Suspected,10,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-18,Suspected,12,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-19,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-21,Suspected,13,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-22,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-25,Suspected,16,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-26,Suspected,9,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-28,Suspected,7,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-07-29,Suspected,3,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-08-01,Suspected,7,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-08-02,Suspected,5,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-08-04,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-08-05,Suspected,14,
