Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-22,Cases,9.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-22,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-24,Cases,2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-24,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-24,Cases,2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-24,Cases,38.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-24,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-24,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-24,Cases,21.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,None,2003-03-24,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-24,Cases,-5.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-24,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-24,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-24,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-24,Cases,15.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-24,Cases,-5.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-25,Cases,26.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-25,Cases,4.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-25,Cases,2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-25,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-26,Cases,8.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-26,Cases,792.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-26,Cases,30.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-26,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-03-26,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-26,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-26,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-26,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-26,Cases,5.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-26,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-26,Cases,-2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-26,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-26,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-26,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-27,Cases,9.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-27,Cases,14.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-27,Cases,51.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-27,Cases,-1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-27,Cases,4.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-27,Cases,5.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-27,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-28,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-28,Cases,58.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-28,Cases,4.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-28,Cases,8.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-28,Cases,6.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-28,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-29,Cases,8.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-29,Cases,45.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-29,Cases,3.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-29,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-29,Cases,8.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-29,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-03-31,Cases,7.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-03-31,Cases,60.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-03-31,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-03-31,Cases,2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-03-31,Cases,2.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-03-31,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-04-01,Cases,9.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-04-01,Cases,155.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-04-01,Cases,3.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-04-01,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-04-01,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-04-01,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-04-01,Cases,10.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-04-01,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Australia,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Belgium,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,None,2003-04-02,Cases,5.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,None,2003-04-02,Cases,384.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,None,2003-04-02,Cases,23.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,None,2003-04-02,Cases,3.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,None,2003-04-02,Cases,-1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,None,2003-04-02,Cases,1.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,None,2003-04-02,Cases,3.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,None,2003-04-02,Cases,0.0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Australia,None,None,2003-04-03,Cases,0.0
